iter	Passed	Remaining
870	2847	421
871	2849	418
872	2853	415
873	2856	411
874	2859	408
875	2862	405
876	2864	401
877	2867	398
878	2870	395
879	2873	391
880	2876	388
881	2880	385
882	2883	382
883	2886	378
884	2890	375
885	2893	372
886	2897	369
887	2900	365
888	2903	362
889	2906	359
890	2909	355
891	2912	352
892	2915	349
893	2918	346
894	2922	342
895	2925	339
896	2928	336
897	2931	333
898	2935	329
899	2938	326
900	2941	323
901	2944	319
902	2948	316
903	2951	313
904	2954	310
905	2957	306
906	2960	303
907	2963	300
908	2966	297
909	2970	293
910	2973	290
911	2976	287
912	2979	283
913	2983	280
914	2986	277
915	2989	274
916	2992	270
917	2996	267
918	2999	264
919	3002	261
920	3005	257
921	3008	254
922	3011	251
923	3014	247
924	3017	244
925	3020	241
926	3023	238
927	3027	234
928	3030	231
929	3033	228
930	3036	225
931	3039	221
932	3043	218
933	3046	215
934	3049	211
935	3052	208
936	3055	205
937	3059	202
938	3062	198
939	3065	195
940	3068	192
941	3071	189
942	3074	185
943	3077	182
944	3081	179
945	3084	176
946	3087	172
947	3090	169
948	3093	166
949	3096	162
950	3099	159
951	3102	156
952	3105	153
953	3108	149
954	3111	146
955	3114	143
956	3117	140
957	3120	136
958	3124	133
959	3127	130
960	3130	127
961	3134	123
962	3137	120
963	3140	117
964	3143	114
965	3146	110
966	3150	107
967	3153	104
968	3156	100
969	3159	97
970	3162	94
971	3166	91
972	3169	87
973	3173	84
974	3176	81
975	3179	78
976	3182	74
977	3186	71
978	3189	68
979	3192	65
980	3195	61
981	3198	58
982	3202	55
983	3205	52
984	3207	48
985	3210	45
986	3213	42
987	3216	39
988	3220	35
989	3223	32
990	3226	29
991	3229	26
992	3232	22
993	3236	19
994	3240	16
995	3243	13
996	3247	9
997	3250	6
998	3254	3
999	3258	0
